Driver,Year,AvgFinish,Wins,DriverRating,Points,Sponsor_Cost,Social_Impressions,Brand_Mentions,Media_Value,Engagement_Value,ROI,Risk_Score,Return_Score,Risk_Return_Segment,Sponsor_Target_Score,Target_Rank,Sponsor_Target_Category
Michael McDowell,2014,30.6,0,49.0,255,60759,104788,4357,8383.04,10892.5,-0.682754159877549,0.6904855956654612,0.20413615411596153,High Risk / Low Return,0.3095210334993872,535.0,Low Priority Target
Travis Kvapil,2014,33.9,0,36.3,214,55439,141163,5636,11293.04,14090.0,-0.5421446995797182,0.71593578748681,0.30752491828334383,High Risk / Low Return,0.331311404638857,457.0,Low Priority Target
Ryan Truex,2014,35.6,0,37.3,193,78270,184347,5982,14747.76,14955.0,-0.6205090072824837,0.7548831281867966,0.2499044074652222,High Risk / Low Return,0.27779472476181044,653.0,Low Priority Target
Terry Labonte,2014,22.0,0,48.7,88,63279,79716,1582,6377.28,3955.0,-0.836718658638727,0.6207839240939688,0.09092756047758431,High Risk / Low Return,0.19760282973807797,903.0,Low Priority Target
Jeff Burton,2014,22.3,0,68.9,87,89279,97215,2619,7777.2,6547.5,-0.8395512942573282,0.6497788697662504,0.08884475114652389,High Risk / Low Return,0.2361024735332104,786.0,Low Priority Target
Michael Waltrip,2014,25.3,0,46.6,76,73888,136925,5715,10954.0,14287.5,-0.6583816045907319,0.6614740958194285,0.22205705620439725,High Risk / Low Return,0.35332628964356055,382.0,Low Priority Target
David Stremme,2014,36.5,0,34.0,75,67630,91371,1029,7309.68,2572.5,-0.8538787520331214,0.7556927101168117,0.07830991124341918,High Risk / Low Return,0.07926712969727631,1101.0,Low Priority Target
Timmy Hill,2014,38.4,0,28.6,62,85144,83293,3438,6663.4400000000005,8595.0,-0.8207925396974537,0.7908258397297349,0.10263788033681207,High Risk / Low Return,0.22608484927751255,812.0,Low Priority Target
Brett Moffitt,2014,35.4,0,34.4,60,81182,95109,1864,7608.72,4660.0,-0.8488738883003621,0.759958203226163,0.0819899387114153,High Risk / Low Return,0.1290965604295194,1046.0,Low Priority Target
Bobby Labonte,2014,26.0,0,49.3,54,75538,119088,1878,9527.04,4695.0,-0.8117233710185602,0.6700731172863387,0.10930635157445322,High Risk / Low Return,0.1748012622868183,955.0,Low Priority Target
Parker Kligerman,2014,37.3,0,34.9,54,61824,118913,1739,9513.04,4347.5,-0.7758064829192547,0.7576253192203142,0.1357156889366751,High Risk / Low Return,0.12030078730017567,1058.0,Low Priority Target
Alex Kennedy,2014,34.6,0,34.5,47,82125,147668,1637,11813.44,4092.5,-0.8063203652968036,0.7541154986581603,0.11327912896210901,High Risk / Low Return,0.11710813819162834,1063.0,Low Priority Target
Juan Pablo Montoya,2014,20.5,0,65.5,47,56979,89815,2779,7185.2,6947.5,-0.7519665139788344,0.6021668987311498,0.1532449854812893,High Risk / Low Return,0.2857286113426234,621.0,Low Priority Target
Dave Blaney,2014,37.4,0,31.0,46,76189,94907,1777,7592.56,4442.5,-0.8420367769625536,0.7732748799204514,0.08701719996534193,High Risk / Low Return,0.1161537472782039,1065.0,Low Priority Target
David Reutimann,2014,32.0,0,42.0,37,62504,128357,6363,10268.56,15907.5,-0.5812098425700756,0.7112503527144638,0.27880069981866745,High Risk / Low Return,0.3755508159863069,315.0,Low Priority Target
Boris Said,2014,30.0,0,37.9,28,70669,182404,6015,14592.32,15037.5,-0.5807239383605258,0.7018181625960916,0.27915798044276396,High Risk / Low Return,0.31881314843484965,501.0,Low Priority Target
Nelson Piquet Jr,2014,26.0,0,47.0,18,56910,190423,2954,15233.84,7385.0,-0.6025506940783694,0.6523124896563223,0.2631089799368854,High Risk / Low Return,0.24855657860997205,734.0,Low Priority Target
Eddie MacDonald,2014,35.0,0,32.6,9,84964,143614,5392,11489.12,13480.0,-0.7061211807353702,0.7616961661120131,0.18695461168171568,High Risk / Low Return,0.27226771747322653,665.0,Low Priority Target
Tomy Drissi,2014,38.0,0,25.9,6,70131,97333,4468,7786.64,11170.0,-0.7296967104418873,0.7737190214057699,0.1696197547255382,High Risk / Low Return,0.278954512901177,650.0,Low Priority Target
Clay Rogers,2014,43.0,0,26.1,2,75227,158102,6293,12648.16,15732.5,-0.6227330612678957,0.8238584616842558,0.24826908227084166,High Risk / Low Return,0.26833048014189065,672.0,Low Priority Target
Landon Cassill,2014,28.8,0,45.7,0,55978,104350,1362,8348.0,3405.0,-0.7900425167029904,0.6770304270990355,0.12524807220286527,High Risk / Low Return,0.14801697568740418,1010.0,Low Priority Target
Brian Scott,2014,32.3,0,51.8,0,71991,195051,8940,15604.08,22350.0,-0.4727940992624078,0.7246218871208339,0.3585177380117288,High Risk / Low Return,0.4030063695062552,239.0,Low Priority Target
Trevor Bayne,2014,32.3,0,57.0,0,67153,78488,3277,6279.04,8192.5,-0.784498979941328,0.7197330678444559,0.1293241806929394,High Risk / Low Return,0.26766237745498855,676.0,Low Priority Target
Joe Nemechek,2014,36.5,0,28.7,0,83548,162931,2661,13034.48,6652.5,-0.7643632402930053,0.7739925917492929,0.144129793582902,High Risk / Low Return,0.1489989599336268,1008.0,Low Priority Target
Morgan Shepherd,2014,41.0,0,25.9,0,89071,62867,758,5029.36,1895.0,-0.9222602193755544,0.8199582217811664,0.028029685535196126,High Risk / Low Return,0.034103073404546984,1111.0,Low Priority Target
Blake Koch,2014,35.8,0,28.7,0,53983,109254,3528,8740.32,8820.0,-0.6747064816701555,0.7378349840583713,0.21005353337704974,High Risk / Low Return,0.23969930837069658,772.0,Low Priority Target
Sam Hornish Jr.,2014,17.0,0,66.6,0,98436,75851,1231,6068.08,3077.5,-0.9070911048803283,0.6140369781458855,0.0391833874116775,High Risk / Low Return,0.18585723992651518,934.0,Low Priority Target
J.J. Yeley,2014,36.2,0,34.5,0,79921,81279,3526,6502.32,8815.0,-0.8083442399369377,0.7676351853559883,0.11179099368707163,High Risk / Low Return,0.250525392649164,725.0,Low Priority Target
Ryan Blaney,2014,24.5,0,67.4,0,66905,123702,3010,9896.16,7525.0,-0.7396134818025558,0.6494824628050716,0.16232804950642768,High Risk / Low Return,0.2453450611091308,748.0,Low Priority Target
Mike Bliss,2014,40.9,0,29.6,0,73953,65449,3044,5235.92,7610.0,-0.8262961610752776,0.8037839835231928,0.09859112123900207,High Risk / Low Return,0.23277518575242073,794.0,Low Priority Target
Johnny Sauter,2014,43.0,0,27.8,0,76806,126221,4118,10097.68,10295.0,-0.7344910553862979,0.8255131058264583,0.16609451966848854,High Risk / Low Return,0.1941081721675823,917.0,Low Priority Target
Regan Smith,2014,37.0,0,51.6,0,72168,139080,2407,11126.4,6017.5,-0.762444573772309,0.7669802335421398,0.14554057035427959,High Risk / Low Return,0.14472097033824083,1018.0,Low Priority Target
Ty Dillon,2014,26.0,0,52.0,0,54583,55451,864,4436.08,2160.0,-0.8791550482751039,0.650492568624293,0.059724497248856374,High Risk / Low Return,0.13757901860593633,1030.0,Low Priority Target
Joey Gase,2014,36.0,0,28.8,0,88714,137178,4534,10974.24,11335.0,-0.748526275446942,0.774725676913161,0.15577455930583842,High Risk / Low Return,0.23179040401532305,799.0,Low Priority Target
Corey LaJoie,2014,38.0,0,31.6,0,89896,113761,4604,9100.880000000001,11510.0,-0.770725282548723,0.7938688108157191,0.1394518459895745,High Risk / Low Return,0.24604525737474636,745.0,Low Priority Target
Mike Wallace,2014,34.7,0,30.3,0,61889,88870,3666,7109.6,9165.0,-0.7370356606182036,0.7359522353211454,0.16422349627032362,High Risk / Low Return,0.26814872415951885,673.0,Low Priority Target
Kyle Fowler,2014,28.0,0,34.2,0,77413,146566,3082,11725.28,7705.0,-0.7490049474894398,0.6915110972550509,0.1554225964236077,High Risk / Low Return,0.21521386259720865,842.0,Low Priority Target
Jimmie Johnson,2013,10.7,6,110.3,2419,93430,586019,10647,46881.520000000004,26617.5,-0.21332527025580644,0.3310092519832144,0.549302636226463,Safe but Moderate,0.5581343885111121,40.0,Medium Priority Target
Matt Kenseth,2013,12.1,7,110.9,2400,143587,631425,6737,50514.0,16842.5,-0.5309011261465174,0.36981826449145716,0.315792208120184,Safe but Moderate,0.44513999517144365,145.0,Low Priority Target
Kevin Harvick,2013,11.2,4,94.9,2385,102676,451811,16792,36144.88,41980.0,-0.23911254820990296,0.3958435396376457,0.5303415023648607,Safe but Moderate,0.604251959397924,17.0,Medium Priority Target
Kyle Busch,2013,12.7,4,101.9,2364,100816,473849,6189,37907.92,15472.5,-0.47051638628789083,0.4080456495611465,0.36019251813722336,High Risk / Low Return,0.4227332882849598,196.0,Low Priority Target
Dale Earnhardt Jr.,2013,12.6,0,98.5,2363,122733,153102,4107,12248.16,10267.5,-0.8165476277773703,0.5293249630315616,0.10575912265213855,High Risk / Low Return,0.30780846837210973,540.0,Low Priority Target
Jeff Gordon,2013,14.4,1,92.5,2337,110144,182432,6214,14594.56,15535.0,-0.7264530069726903,0.5085253262426942,0.17200481823616817,High Risk / Low Return,0.36676031054890423,336.0,Low Priority Target
Clint Bowyer,2013,11.9,0,93.5,2336,92050,161224,7655,12897.92,19137.5,-0.6519780554046714,0.4928348949859007,0.22676552343860412,High Risk / Low Return,0.45970192531939646,120.0,Medium Priority Target
Joey Logano,2013,14.1,1,92.2,2323,134460,190272,4275,15221.76,10687.5,-0.8073087907184292,0.5308178446319142,0.11255234939409818,High Risk / Low Return,0.29170502774403323,603.0,Low Priority Target
Greg Biffle,2013,14.4,1,83.0,2321,123933,240541,4808,19243.28,12020.0,-0.7477404726747517,0.5229316327293778,0.15635235241679954,High Risk / Low Return,0.30801594893639084,538.0,Low Priority Target
Kurt Busch,2013,14.7,0,93.0,2309,114951,183975,6653,14718.0,16632.5,-0.7272707501457143,0.5419019399245839,0.1714035396601308,High Risk / Low Return,0.37599924734745804,312.0,Low Priority Target
Ryan Newman,2013,16.0,1,81.8,2286,122413,221221,7691,17697.68,19227.5,-0.6983557301920548,0.5367881561468405,0.1926644716952293,High Risk / Low Return,0.38085017764198775,294.0,Low Priority Target
Kasey Kahne,2013,16.2,2,96.5,2283,124801,371813,8657,29745.04,21642.5,-0.5882441647102186,0.5160846989867418,0.27362843138605863,High Risk / Low Return,0.3953839854526082,252.0,Low Priority Target
Carl Edwards,2013,13.6,2,92.5,2282,145619,378805,17850,30304.4,44625.0,-0.48544214697257915,0.5138175709152778,0.34921775194311805,High Risk / Low Return,0.5567460359779994,42.0,Medium Priority Target
Brad Keselowski,2013,14.9,1,94.4,1041,122913,280021,12263,22401.68,30657.5,-0.5683192176580183,0.5641852336274811,0.28827905053689035,High Risk / Low Return,0.48269013806409294,91.0,Medium Priority Target
Jamie McMurray,2013,16.5,1,81.2,1007,137037,207883,3941,16630.64,9852.5,-0.8067446018228653,0.593820555597728,0.11296719198396202,High Risk / Low Return,0.2671850246197831,678.0,Low Priority Target
Martin Truex Jr.,2013,15.1,1,92.3,998,143540,173191,3388,13855.28,8470.0,-0.8444664901769542,0.5880935228984192,0.08523065554659555,High Risk / Low Return,0.25737024079816906,705.0,Low Priority Target
Paul Menard,2013,17.8,0,76.7,949,130600,90121,2747,7209.68,6867.5,-0.8922114854517612,0.6256952894972652,0.05012422639037782,High Risk / Low Return,0.26126701611556075,691.0,Low Priority Target
Aric Almirola,2013,18.8,0,74.7,913,147775,188696,7725,15095.68,19312.5,-0.7671583150059212,0.6530881023943484,0.14207460241929337,High Risk / Low Return,0.37005416376825917,328.0,Low Priority Target
Ricky Stenhouse Jr.,2013,18.9,0,70.0,909,115280,179941,2116,14395.28,5290.0,-0.8292394170714782,0.6212673206521085,0.09642697382366552,High Risk / Low Return,0.2046967863810666,884.0,Low Priority Target
Jeff Burton,2013,19.0,0,74.1,906,114557,171343,6465,13707.44,16162.5,-0.7392569637822219,0.6215227490561672,0.16259019372807285,High Risk / Low Return,0.35497074620319324,373.0,Low Priority Target
Juan Pablo Montoya,2013,19.3,0,77.8,894,137054,205261,7374,16420.88,18435.0,-0.7456777620499948,0.6473027176819443,0.15786904341238994,High Risk / Low Return,0.35281156505242806,383.0,Low Priority Target
Marcos Ambrose,2013,19.9,0,73.4,872,125400,165473,3186,13237.84,7965.0,-0.8309183413078151,0.6415605554934747,0.09519247721470434,High Risk / Low Return,0.23240092515245325,795.0,Low Priority Target
Denny Hamlin,2013,21.0,1,82.4,753,70714,207810,7741,16624.8,19352.5,-0.4912280453658398,0.5746858706309174,0.34496343731016094,High Risk / Low Return,0.41697822087299646,210.0,Low Priority Target
Casey Mears,2013,24.2,0,56.7,719,73387,156118,7432,12489.44,18580.0,-0.5766356439151348,0.6321088834682401,0.2821640634571362,High Risk / Low Return,0.41512016186917783,216.0,Low Priority Target
Mark Martin,2013,20.9,0,73.1,649,78444,94031,1116,7522.4800000000005,2790.0,-0.8685370455356688,0.6096706494048948,0.06753181105854472,High Risk / Low Return,0.15932666339276147,988.0,Low Priority Target
David Gilliland,2013,26.2,0,53.6,648,69921,218692,4983,17495.36,12457.5,-0.571618540924758,0.6486517537607952,0.2858530903318346,High Risk / Low Return,0.30035236410351773,565.0,Low Priority Target
Danica Patrick,2013,26.1,0,53.6,646,63057,208707,5745,16696.56,14362.5,-0.5074446928969027,0.6408772751203904,0.3330394946136787,High Risk / Low Return,0.3381766580485811,434.0,Low Priority Target
David Ragan,2013,26.9,1,51.2,633,74858,139140,6396,11131.2,15990.0,-0.6376980416254776,0.6353655994179581,0.23726547823394165,High Risk / Low Return,0.3723055620961322,322.0,Low Priority Target
Tony Stewart,2013,16.1,1,79.0,594,133194,228814,11095,18305.12,27737.5,-0.65431911347358,0.5985429264628421,0.2250441662832899,High Risk / Low Return,0.4627159726537867,114.0,Medium Priority Target
Dave Blaney,2013,29.0,0,46.4,526,86850,194587,5402,15566.960000000001,13505.0,-0.6652624064478987,0.6944893238346128,0.21699766973789447,High Risk / Low Return,0.27966801114437256,646.0,Low Priority Target
Travis Kvapil,2013,30.4,0,47.1,496,70567,214693,8587,17175.44,21467.5,-0.45239361174486653,0.6914852570232218,0.373518017426664,High Risk / Low Return,0.3945799006291117,255.0,Low Priority Target
J.J. Yeley,2013,30.6,0,42.2,472,79739,127567,3988,10205.36,9970.0,-0.7469825305057751,0.7032571695526612,0.15690965989806613,High Risk / Low Return,0.24804975536737972,737.0,Low Priority Target
David Reutimann,2013,31.1,0,46.2,465,53754,200009,6302,16000.720000000001,15755.0,-0.40923987052126354,0.6816931007207689,0.40524854227795787,High Risk / Low Return,0.35518216838087013,371.0,Low Priority Target
Bobby Labonte,2013,29.4,0,51.4,412,77044,146789,3100,11743.12,7750.0,-0.746987176159078,0.6915363707237795,0.15690624399452227,High Risk / Low Return,0.20907450313884618,871.0,Low Priority Target
AJ Allmendinger,2013,21.2,0,67.0,410,51724,68022,1270,5441.76,3175.0,-0.8334088624236331,0.5924197190407505,0.09336122133937566,High Risk / Low Return,0.1931898661858492,919.0,Low Priority Target
David Stremme,2013,29.6,0,46.9,362,51376,141930,3054,11354.4,7635.0,-0.6303838368109623,0.6688700715550928,0.2426435416660756,High Risk / Low Return,0.23861153026121668,776.0,Low Priority Target
Michael McDowell,2013,37.7,0,36.9,210,58706,139956,4514,11196.48,11285.0,-0.6170497053112118,0.7534577848306052,0.25244799845073645,High Risk / Low Return,0.2537294268552553,715.0,Low Priority Target
Timmy Hill,2013,34.0,0,32.4,190,58894,122432,1367,9794.56,3417.5,-0.775663734845655,0.7210332116584883,0.13582065020233594,High Risk / Low Return,0.12096973985918433,1057.0,Low Priority Target
Ken Schrader,2013,32.2,0,35.4,118,68037,196909,9114,15752.720000000001,22785.0,-0.4335770242662081,0.7162444942058868,0.3873536705978323,High Risk / Low Return,0.4164258200438507,212.0,Low Priority Target
Michael Waltrip,2013,15.8,0,64.6,114,130970,121823,1979,9745.84,4947.5,-0.8878114071924869,0.6327771833317826,0.05335956100088383,High Risk / Low Return,0.21072200075826353,862.0,Low Priority Target
Scott Speed,2013,35.9,0,37.0,99,66406,76846,1444,6147.68,3610.0,-0.8530602656386471,0.7483625413082222,0.07891173630293699,High Risk / Low Return,0.11597540985747898,1066.0,Low Priority Target
Terry Labonte,2013,26.8,0,41.7,87,79725,93325,2867,7466.0,7167.5,-0.8164502978990279,0.68050912810942,0.10583068836199243,High Risk / Low Return,0.23676300040371698,782.0,Low Priority Target
Boris Said,2013,20.0,0,67.1,48,104561,107281,4120,8582.48,10300.0,-0.8194118265892637,0.6457320006510244,0.10365310521302668,High Risk / Low Return,0.3135354710960225,524.0,Low Priority Target
Ron Fellows,2013,28.5,0,55.7,31,89019,179428,2481,14354.24,6202.5,-0.7690746919197027,0.7068107890038532,0.14066550917353954,High Risk / Low Return,0.18116229096305897,944.0,Low Priority Target
Alex Kennedy,2013,37.0,0,33.4,21,59496,157726,3581,12618.08,8952.5,-0.6374448702433777,0.7535550151756044,0.23745163268089292,High Risk / Low Return,0.20948919138480432,869.0,Low Priority Target
Justin Marks,2013,30.0,0,43.8,14,86068,143184,6979,11454.72,17447.5,-0.66419319607752,0.7177923228058826,0.21778384969046843,High Risk / Low Return,0.36469395724452475,340.0,Low Priority Target
Scott Riggs,2013,42.3,0,28.0,11,79806,136074,2788,10885.92,6970.0,-0.7762584266847105,0.8219377479828055,0.13538337909575363,High Risk / Low Return,0.12904394834692065,1047.0,Low Priority Target
Victor Gonzalez Jr,2013,39.0,0,36.3,10,72663,78782,1774,6302.56,4435.0,-0.8522279564565185,0.7851338609428901,0.07952372512334191,High Risk / Low Return,0.11954979819870283,1059.0,Low Priority Target
Brian Keselowski,2013,39.5,0,26.8,9,86495,59441,2583,4755.28,6457.5,-0.8703649921960808,0.8036278634131508,0.06618773971523978,High Risk / Low Return,0.2115152605147315,856.0,Low Priority Target
Tomy Drissi,2013,40.0,0,28.9,8,72656,150995,1813,12079.6,4532.5,-0.7713595573662189,0.7941602044124205,0.13898546990517385,High Risk / Low Return,0.10402069231535538,1080.0,Low Priority Target
Jacques Villeneuve,2013,41.0,0,34.6,3,75860,158215,4522,12657.2,11305.0,-0.6841260216187715,0.8065198638762281,0.20312743756351137,High Risk / Low Return,0.20656942604432546,880.0,Low Priority Target
Jason Leffler,2013,43.0,0,28.3,1,66832,180752,4552,14460.16,11380.0,-0.6133564759396696,0.8154048080125103,0.25516359397113486,High Risk / Low Return,0.20419627536855411,888.0,Low Priority Target
Brian Vickers,2013,18.9,1,78.2,-50,126332,204962,4645,16396.96,11612.5,-0.7782868948484946,0.6357537357238754,0.13389186624759747,High Risk / Low Return,0.27990376778862486,642.0,Low Priority Target
Josh Wise,2013,34.9,0,37.8,0,71727,53716,1151,4297.28,2877.5,-0.8999710011571653,0.7476884473477257,0.044418730205271546,High Risk / Low Return,0.11536952088177205,1067.0,Low Priority Target
Austin Dillon,2013,23.1,0,65.1,0,79545,176310,2407,14104.800000000001,6017.5,-0.7470324973285561,0.6496911332160449,0.15687291978082396,High Risk / Low Return,0.2127218792442569,852.0,Low Priority Target
Trevor Bayne,2013,25.3,0,58.9,0,52520,69169,1562,5533.52,3905.0,-0.8202871287128712,0.6421258471960725,0.10300950410225372,High Risk / Low Return,0.19549113090116554,912.0,Low Priority Target
Joe Nemechek,2013,36.2,0,30.6,0,53081,180064,2110,14405.12,5275.0,-0.6292436088242497,0.7405132528677734,0.2434819401789892,High Risk / Low Return,0.16727736062988088,965.0,Low Priority Target
Regan Smith,2013,16.3,0,69.0,0,141417,103541,4269,8283.28,10672.5,-0.8659582652722091,0.6511874075000477,0.06942796302395018,High Risk / Low Return,0.3335855676113425,446.0,Low Priority Target
Mike Bliss,2013,41.3,0,29.3,0,86735,95740,2482,7659.2,6205.0,-0.8401544935723757,0.8202899916831438,0.08840122457585592,High Risk / Low Return,0.13298039911352097,1041.0,Low Priority Target
Landon Cassill,2013,32.3,0,38.9,0,89213,156651,4348,12532.08,10870.0,-0.7376830730947284,0.7420247902993748,0.16374746019342903,High Risk / Low Return,0.23279938111804843,793.0,Low Priority Target
Sam Hornish Jr.,2013,37.0,0,64.6,0,64566,186028,8509,14882.24,21272.5,-0.4400343834216151,0.7592983806816551,0.38260563741821296,High Risk / Low Return,0.38418154053055387,283.0,Low Priority Target
Elliott Sadler,2013,24.6,0,58.3,0,64042,116761,4241,9340.880000000001,10602.5,-0.6885890509353236,0.6474868252034851,0.19984581565483067,High Risk / Low Return,0.3159972354948115,512.0,Low Priority Target
Paulie Harraka,2013,39.0,0,26.5,0,75498,113811,1174,9104.880000000001,2935.0,-0.8405271662825504,0.7882939304471079,0.08812720196839935,High Risk / Low Return,0.07181153343553488,1105.0,Low Priority Target
Morgan Shepherd,2013,41.0,0,25.3,0,61329,113232,5404,9058.56,13510.0,-0.6320083484159207,0.7919248145126098,0.24144905413403855,High Risk / Low Return,0.3025647013102344,556.0,Low Priority Target
Tony Raines,2013,38.4,0,30.0,0,81656,65417,1274,5233.36,3185.0,-0.8969045752914666,0.7891319998710777,0.04667344322382636,High Risk / Low Return,0.09190264651009042,1090.0,Low Priority Target
Max Papis,2013,15.0,0,68.9,0,140948,162492,2324,12999.36,5810.0,-0.8665510684791554,0.6390468143677709,0.06899208061012951,High Risk / Low Return,0.22265196344346852,820.0,Low Priority Target
Owen Kelly,2013,24.0,0,62.0,0,87900,80099,3262,6407.92,8155.0,-0.8343240045506257,0.6662108188093255,0.09268832626285045,High Risk / Low Return,0.2927350575720213,600.0,Low Priority Target
Brendan Gaughan,2013,33.0,0,35.6,0,69363,193674,5813,15493.92,14532.5,-0.5671118607903349,0.7282483333887634,0.2891668082609751,High Risk / Low Return,0.2954362052698142,587.0,Low Priority Target
Johnny Sauter,2013,42.0,0,30.7,0,69033,168474,4607,13477.92,11517.5,-0.6379207045905582,0.8086840977749422,0.2371017563283404,High Risk / Low Return,0.2101879015059234,866.0,Low Priority Target
Ryan Truex,2013,36.3,0,35.7,0,60805,59256,1183,4740.4800000000005,2957.5,-0.8733988981169312,0.749215823137004,0.06395693829482023,High Risk / Low Return,0.10934098835783049,1076.0,Low Priority Target
Reed Sorenson,2013,40.7,0,30.0,0,85851,84681,2701,6774.4800000000005,6752.5,-0.8424365470408033,0.8140120905936259,0.08672325292754104,High Risk / Low Return,0.162115567369553,979.0,Low Priority Target
Justin Allgaier,2013,30.3,0,55.6,0,76832,141328,2964,11306.24,7410.0,-0.7564004581424407,0.7115650199610671,0.14998474960177283,High Risk / Low Return,0.1996795343577091,898.0,Low Priority Target
Cole Whitt,2013,33.9,0,41.8,0,63944,93361,4300,7468.88,10750.0,-0.7150806956086575,0.7308493342542991,0.18036676781739538,High Risk / Low Return,0.30332994025115995,552.0,Low Priority Target
Kevin Swindell,2013,38.0,0,32.1,0,69873,84540,1573,6763.2,3932.5,-0.846926566771142,0.773635485398002,0.08342178523096073,High Risk / Low Return,0.1081490666929372,1078.0,Low Priority Target
Brian Scott,2013,27.0,0,56.0,0,73928,134700,6111,10776.0,15277.5,-0.6475827832485662,0.6790151311748264,0.2299973241683451,High Risk / Low Return,0.3649179857608836,339.0,Low Priority Target
Blake Koch,2013,38.0,0,28.5,0,65379,128532,4161,10282.56,10402.5,-0.6836130867709815,0.7690942795633509,0.20350459355215575,High Risk / Low Return,0.2322664949631117,796.0,Low Priority Target
Kyle Larson,2013,29.3,0,59.7,0,86751,177646,7663,14211.68,19157.5,-0.6153452986132725,0.7126138520578931,0.2537012320650701,High Risk / Low Return,0.36300649370016524,345.0,Low Priority Target
Parker Kligerman,2013,21.5,0,58.8,0,84546,183943,7084,14715.44,17710.0,-0.616475764672486,0.6403856903165923,0.25287001140219517,High Risk / Low Return,0.38140780520752066,290.0,Low Priority Target
Brad Keselowski,2012,10.1,5,99.0,2400,115425,432702,16385,34616.16,40962.5,-0.34521412172406324,0.3734117275139348,0.4523260506405722,Safe but Moderate,0.5804176157175498,28.0,Medium Priority Target
Clint Bowyer,2012,10.9,3,96.5,2361,116685,328402,7544,26272.16,18860.0,-0.6132136949907872,0.43301608145209236,0.25526857940967035,High Risk / Low Return,0.4016677568894449,244.0,Low Priority Target
Jimmie Johnson,2012,11.2,5,109.5,2360,146464,514626,9961,41170.08,24902.5,-0.5488817729954119,0.41582972246241295,0.30257121393743336,High Risk / Low Return,0.4539365129245304,130.0,Medium Priority Target
Kasey Kahne,2012,13.1,2,96.3,2345,137319,292658,5395,23412.64,13487.5,-0.7312816143432446,0.4990828788702134,0.16845439035148893,High Risk / Low Return,0.32662774152961427,473.0,Low Priority Target
Greg Biffle,2012,10.2,2,99.5,2332,114578,333383,14764,26670.64,36910.0,-0.44508858594145473,0.4504612391948465,0.37888933162149735,High Risk / Low Return,0.5568419167437335,41.0,Medium Priority Target
Denny Hamlin,2012,12.8,5,100.9,2329,118831,437388,18727,34991.04,46817.5,-0.31155557051611105,0.4031808338895477,0.47707485492218854,High Risk / Low Return,0.601433402876465,20.0,Medium Priority Target
Matt Kenseth,2012,11.1,3,99.9,2324,97906,383921,10605,30713.68,26512.5,-0.41549874369292994,0.4169272684963513,0.4006464539054662,High Risk / Low Return,0.49134757655485495,80.0,Medium Priority Target
Kevin Harvick,2012,12.1,1,91.0,2321,144028,182562,2792,14604.960000000001,6980.0,-0.8501335851362236,0.5225966888078261,0.08106369591943377,High Risk / Low Return,0.25268542535534866,719.0,Low Priority Target
Tony Stewart,2012,13.6,3,86.1,2311,97287,339574,8587,27165.920000000002,21467.5,-0.5001036109654938,0.43912154099728773,0.33843732052761244,High Risk / Low Return,0.4318605961927338,173.0,Low Priority Target
Jeff Gordon,2012,14.1,2,98.0,2303,123660,363701,12647,29096.08,31617.5,-0.5090281416787967,0.4954949796134907,0.3318752001747725,High Risk / Low Return,0.4817212108517277,92.0,Medium Priority Target
Martin Truex Jr.,2012,12.1,0,95.6,2299,100222,202251,5698,16180.08,14245.0,-0.6964231406278063,0.5039801804835828,0.19408548594467742,High Risk / Low Return,0.36265738109735246,348.0,Low Priority Target
Dale Earnhardt Jr.,2012,10.9,1,95.9,2245,149720,313857,12933,25108.56,32332.5,-0.6163434410900347,0.5198234528254888,0.252967307641231,High Risk / Low Return,0.4879406373824413,85.0,Medium Priority Target
Kyle Busch,2012,13.3,1,101.5,1133,127443,210567,10508,16845.36,26270.0,-0.661689068838618,0.5516871741266186,0.21962511001533974,High Risk / Low Return,0.47684095488854505,99.0,Medium Priority Target
Ryan Newman,2012,15.0,1,82.0,1051,124701,257865,4550,20629.2,11375.0,-0.7433524991780339,0.5665941608959979,0.15957878651350932,High Risk / Low Return,0.29947346587391255,572.0,Low Priority Target
Carl Edwards,2012,15.6,0,84.2,1030,107764,106680,3028,8534.4,7570.0,-0.8505586281132846,0.5804839760538714,0.0807511659657359,High Risk / Low Return,0.2776797688041599,654.0,Low Priority Target
Paul Menard,2012,15.5,0,78.0,1006,134641,174030,4740,13922.4,11850.0,-0.8085843093856998,0.6074545575938289,0.11161447296386222,High Risk / Low Return,0.3032716821902983,554.0,Low Priority Target
Joey Logano,2012,17.4,1,79.4,965,107674,277691,6159,22215.28,15397.5,-0.6506790868733399,0.5734662626270668,0.2277206423250732,High Risk / Low Return,0.33964027669730734,428.0,Low Priority Target
Marcos Ambrose,2012,17.9,1,79.9,950,108024,193333,3465,15466.64,8662.5,-0.7766316744427164,0.5787500537649375,0.13510893366123775,High Risk / Low Return,0.25823874734819596,699.0,Low Priority Target
Jeff Burton,2012,19.6,0,72.3,883,136007,178022,2248,14241.76,5620.0,-0.853965163557758,0.6492618466210056,0.0782463736925099,High Risk / Low Return,0.1985253227294742,901.0,Low Priority Target
Jamie McMurray,2012,20.1,0,73.0,868,83848,168702,7673,13496.16,19182.5,-0.6102630951245109,0.6014850731901847,0.25743812670101607,High Risk / Low Return,0.4205948446649729,201.0,Low Priority Target
